🌶体育频道,#genre#
CCTV5,http://116.9.204.242:9901/tsfile/live/0005_1.m3u8
CCTV5,https://smart.pendy.dpdns.org/Smart.php?id=cctv5
CCTV5,http://112.46.105.20:8009/hls/503/index.m3u8
CCTV5,http://120.76.248.139/live/bfgd/4200000064.m3u8
CCTV5+,https://smart.pendy.dpdns.org/Smart.php?id=cctv5plus
CCTV 5+,http://125.227.210.55:8177/VideoInput/play.ts
CCTV5+,http://120.76.248.139/live/bfgd/4200000246.m3u8
CCTV5+,http://39.165.196.149:9003//hls/16/index.m3u8
CCTV5+,https://piccpndali.v.myalicdn.com/audio/cctv5plus_2.m3u8
CCTV风云足球,http://222.173.108.238:352/tsfile/live/0119_1.m3u8
劲爆体育,http://qjrhc.jydjd.top:2911/udp/224.1.100.129:11111
劲爆体育,http://qjrhc.jydjd.top:2911/udp/224.1.100.130:11111
劲爆体育,http://120.238.94.82:9901/tsfile/live/1086_1.m3u8
劲爆体育,http://150.230.250.89:50001/TVOD/5000000002000029972/bestzb/index.m3u8
劲爆体育,http://goo.bkpcp.top/mg/jbty
劲爆体育,http://119.32.12.17:2901/udp/224.1.100.129:11111
劲爆体育,http://183.237.95.108:9901/tsfile/live/1074_1.m3u8?key=txiptv&amp;amp;playlive=0&amp;amp;authid=0
五星体育,http://b.mtw.so/6pCqfD
五星体育,http://36.105.100.208:35455/itv/5000000010000017540.m3u8?cdn=bestzb
五星体育,http://api2.52tb.xyz/info?id=375&token=20230120rdbtgv
五星体育,http://3501776.xyz:35455/itv/5000000010000017540.m3u8?cdn=bestzb
精品体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225709/index.m3u8
精品体育,http://111.43.126.240:9003/hls/89/index.m3u8
睛彩竞技,http://138.2.61.159:5000/1000000006000270001/ystenlive/index.m3u8
睛彩竞技,http://39.134.65.106/PLTV/88888888/224/3221225897/1.m3u8?
广东体育,http://113.117.107.10:8800/udp/239.77.0.168:5146
广东体育,http://113.117.107.10:8800/udp/239.77.0.112:5146
广东体育,http://qjrhc.jydjd.top:2911/udp/224.1.100.33:11111
广东体育,http://php.jdshipin.com/PLTV/iptv.php?id=gdty
广东体育,http://qjrhc.jydjd.top:2911/udp/224.1.100.34:11111
广东体育,http://113.64.146.6:2024/hls/39/index.m3u8
广东体育,https://epg.pw/stream/7b470f9fc5c305db0c8622117b7b25ca00eb35ba3e93e865cf0ff9df5c736681.m3u8
广东体育,http://113.64.146.94:2024/hls/39/index.m3u8
广东体育,http://218.15.183.23:9901/tsfile/live/23012_1.m3u8
广东体育,http://120.238.94.82:9901/tsfile/live/1012_1.m3u8
辽宁体育,http://120.76.248.139/live/bfgd/4200000611.m3u8
魅力足球,http://qjrhc.jydjd.top:2911/udp/224.1.100.133:11111
魅力足球,http://120.76.248.139/live/bfgd/4200000633.m3u8
魅力足球,http://115.150.63.77:9902/tsfile/live/1030_1.m3u8
魅力足球,http://146.56.165.66:7788/TVOD/5000000011000031207/bestzb/index.m3u8
五星体育,http://b.mtw.so/6pCqfD
五星体育,http://36.105.100.208:35455/itv/5000000010000017540.m3u8?cdn=bestzb
五星体育,http://api2.52tb.xyz/info?id=375&token=20230120rdbtgv
五星体育,http://3501776.xyz:35455/itv/5000000010000017540.m3u8?cdn=bestzb
快乐垂钓,http://222.173.108.238:352/tsfile/live/0118_1.m3u8
快乐垂钓,http://115.150.63.77:9902/tsfile/live/0001_42.m3u8
快乐垂钓,http://nas.hssvm.com:8888/udp/225.1.2.18:5002
快乐垂钓,http://wouu.net:9977/udp/239.93.1.151:5140
快乐垂钓,http://36.105.100.208:35455/itv/5000000011000031206.m3u8?cdn=bestzb
纬来体育,https://smart.pendy.dpdns.org/Smart.php?id=videolandsport
纬来体育,http://api2.52tb.xyz/info?id=375&amp;amp;token=20230120rdbtgv
iHOT爱体育,http://146.56.165.66:7788/TVOD/2000000004000000060/hnbblive/index.m3u8
咪咕4K,http://dsj.motem.top:8880/itv/3000000010000015686.m3u8
咪咕4K,http://dsj.motem.top:8880/itv/3000000010000005180.m3u8
咪咕直播,http://dsj.motem.top:8880/itv/3000000001000005969.m3u8
咪咕直播,http://dsj.motem.top:8880/itv/3000000001000005308.m3u8

☘️台灣频道,#genre#

動物星球, https://stream1.freetv.fun/8317efd309ee89f507551612d08eba8a8dd3195efed4d6d28bc6ccff462840cf.ctv

DiscoveryAsia,http://125.227.210.55:8154/VideoInput/play.ts

寰宇新闻,http://222.128.55.152:9080/live/hy.m3u8

寰宇新闻,https://stream1.freetv.fun/huan-yu-xin-wen-1.m3u8
寰宇新闻,https://stream1.freetv.fun/huan-yu-xin-wen-7.m3u8
寰宇新闻,https://ghp.ci/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
寰宇新闻,https://haoyunlai.serv00.net/Smartv-1.php?id=huanyuxinwen_twn
寰宇新闻,http://qwt.zhibotv.top:2016/全网通.php?id=寰宇新闻
寰宇新闻,https://gdfire2.67890123.cn:8088/live/hyxw01.m3u8
寰宇新闻,http://xn--elt51t.azip.dpdns.org:5008/of-litv-longturn14/index.m3u8
寰宇新闻,http://ali.hlspull.yximgs.com/live/b00e5a1c1ed0f660a39b04d0c6edef4c.flv
寰宇新闻,http://122.117.71.103:8548/http/220.130.87.218:8081/hls/76/818/ch062.m3u8
