🇹🇼台灣頻道,#genre#
TVBS新聞台Live,https://gh-proxy.com//www.youtube.com/watch?v=2mCSYvcfhtc
TVBS選新聞,https://gh-proxy.com//www.youtube.com/watch?v=plkoY0Fyu3w
TVBS選新聞Live,https://gh-proxy.com//www.youtube.com/watch?v=o_-hSMgpAzs
台視新聞台,https://gh-proxy.com//www.youtube.com/watch?v=xL0ch83RAK8
民視新聞台,https://gh-proxy.com//www.youtube.com/watch?v=ylYJSBUgaMA
中視新聞,https://gh-proxy.com//www.youtube.com/watch?v=TCnaIE_SAtM
中視新聞,https://gh-proxy.com//www.youtube.com/watch?v=AGdxQWYSrI8
中天新聞,https://gh-proxy.com//www.youtube.com/watch?v=vr3XyVCR4T0
三立LIVE新聞,https://gh-proxy.com//www.youtube.com/watch?v=hGJkDZDchYI
三立新聞,https://gh-proxy.com//www.youtube.com/watch?v=MV9mI0GChwo
三立iNEWS,https://gh-proxy.com//www.youtube.com/watch?v=pF507BLtbqU
鏡新聞Live,https://gh-proxy.com//www.youtube.com/watch?v=5n0y6b0Q25o
東森新聞,https://gh-proxy.com//www.youtube.com/watch?v=V1p33hqPrUk
東森財經新聞,https://gh-proxy.com//www.youtube.com/watch?v=1I2iq41Akmo
寰宇新聞台Live,https://gh-proxy.com//www.youtube.com/watch?v=6IquAgfvYmc
寰宇新聞台24小時新聞,https://gh-proxy.com//www.youtube.com/watch?v=Ej3LQM_lTEw
寰宇新聞財經台,https://gh-proxy.com//www.youtube.com/watch?v=EnuEsX3FSh0




🌐英語頻道,#genre#
🇬🇧GBN,https://gh-proxy.com//www.youtube.com/watch?v=QliL4CGc7iY
🇺🇸FOX,https://gh-proxy.com//www.youtube.com/watch?v=YDfiTGGPYCk
🇺🇸NBC New,https://gh-proxy.com//www.youtube.com/watch?v=1mZ5KfOQ7mk
🇺🇸abcNEWS,https://gh-proxy.com//www.youtube.com/watch?v=iipR5yUp36o
🇺🇸ABC7,https://gh-proxy.com//www.youtube.com/watch?v=s3iVFJoxrYc
🇺🇸Bloomberg News,https://gh-proxy.com//www.youtube.com/watch?v=DxmDPrfinXY
🇺🇸Bloomberg Television,https://gh-proxy.com//www.youtube.com/watch?v=iEpJwprxDdk
🇺🇸CNBC,https://gh-proxy.com//www.youtube.com/watch?v=9NyxcX3rhQs
🇺🇸News 12,https://gh-proxy.com//www.youtube.com/watch?v=1GkcsMJTFiI
🇨🇦CBC News,https://gh-proxy.com//www.youtube.com/watch?v=5vfaDsMhCF4
🇩🇪DW News,https://gh-proxy.com//www.youtube.com/watch?v=LuKwFajn37U
🇪🇺Euronews,https://gh-proxy.com//www.youtube.com/watch?v=pykpO5kQJ98
🇫🇷France24,https://gh-proxy.com//www.youtube.com/france24english/live
🇫🇷FRANCE24,https://gh-proxy.com//www.youtube.com/watch?v=Ap-UM1O9RBU
🇶🇦Al Jazeera,https://gh-proxy.com//www.youtube.com/watch?v=gCNeDWCI0vo
🇸🇬CNA news,https://gh-proxy.com//www.youtube.com/watch?v=XWq5kBlakcQ
🇰🇷Arirang TV ,https://gh-proxy.com//www.youtube.com/watch?v=CJVBX7KI5nU




🇯🇵日本頻道,#genre#
NHK WORLD-JAPAN News,https://gh-proxy.com//www.youtube.com/watch?v=f0lYkdA-Gtw
日テレNEWS,https://gh-proxy.com//www.youtube.com/watch?v=t9kwjZBLI-A
ABCテレビニュース,https://gh-proxy.com//www.youtube.com/watch?v=-29O-q6Qfm8
HTB北海道新聞,https://gh-proxy.com//www.youtube.com/watch?v=7-Vky63lvek
ANNnewsCH,https://gh-proxy.com//www.youtube.com/watch?v=coYw-eVU0Ks
広島ニュース,https://gh-proxy.com//www.youtube.com/watch?v=e2pgLUmaxGs
愛知・岐阜・三重の最新,https://gh-proxy.com//www.youtube.com/watch?v=-C6FE2m7kX8



🇰🇷韓國頻道,#genre#
KBS WORLD TV,https://gh-proxy.com//www.youtube.com/watch?v=OxQQsIvJTTU

연합뉴스TV,https://gh-proxy.com//www.youtube.com/watch?v=6QZ_qc75ihU
K-POP,https://gh-proxy.com//www.youtube.com/watch?v=JVocS7Yftw8

YTN,https://gh-proxy.com//www.youtube.com/watch?v=FJfwehhzIhw
YTN dmb,https://gh-proxy.com//www.youtube.com/watch?v=2C2WCLhDsR4


🌏記錄頻道,#genre#

Nat Geo Animals,https://gh-proxy.com//www.youtube.com/watch?v=Cy0s_bxzqkw
National Geographic,https://gh-proxy.com//www.youtube.com/watch?v=jL7ux2dkZLg
Discovery,https://gh-proxy.com//www.youtube.com/watch?v=-8RuMz21Pf8
Animal Planet,https://gh-proxy.com//www.youtube.com/watch?v=YXWUtkdPGdw
Love Nature,https://gh-proxy.com//www.youtube.com/watch?v=Vr2dKsLBHQo
Explore Africa,https://gh-proxy.com//www.youtube.com/watch?v=DsNtwGJXTTs
Relaxing Nature In 4K,https://gh-proxy.com//www.youtube.com/watch?v=p8wt6jUjgB4




